id,keyword,volume,cpc,difficulty,priority,cluster,archetype,board,link,interactive_asset,status
pin-b2-0001,low emf infrared sauna,1900,3.41,8,237.5,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0002,low emf saunas,480,3.71,3,160.0,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0003,sauna low emf,110,3.71,1,110.0,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0004,2 person sauna dimensions,320,1.81,3,106.7,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0005,near-zero emf infrared sauna,90,3.8,1,90.0,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0006,6 person sauna dimensions,90,2.27,1,90.0,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0007,low emf sauna,880,3.71,12,73.3,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0008,infrared sauna low emf,210,3.41,4,52.5,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0009,low emf far infrared sauna,210,3.19,4,52.5,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0010,low emf infrared saunas,390,3.13,8,48.8,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0011,lowest emf infrared sauna,480,3.13,10,48.0,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0012,emf in saunas,140,1.2,3,46.7,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0013,two person sauna dimensions,260,1.81,7,37.1,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0014,emf far infrared sauna,110,1.53,3,36.7,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0015,lowest emf sauna,320,3.45,9,35.6,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0016,lowest emf saunas,320,3.71,9,35.6,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0017,infrared sauna with low emf,90,3.41,3,30.0,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0018,4 person barrel sauna dimensions,30,1.39,1,30.0,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0019,ultra low emf infrared sauna,170,3.54,6,28.3,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
