Date,Clicks,Impressions,CTR,Position
2026-08-09,13,3498,0.37%,11.5
2026-08-10,16,3268,0.49%,13.2
2026-08-11,10,2930,0.34%,15
2026-08-12,22,2805,0.78%,14.2
2026-08-13,10,2526,0.4%,14.8
2026-08-14,11,2457,0.45%,13.2
2026-08-15,19,2656,0.72%,12.6
2026-08-16,20,3260,0.61%,12.7
2026-08-17,21,3011,0.7%,13.5
2026-08-18,15,2457,0.61%,12.3
2026-08-19,13,2551,0.51%,12.7
2026-08-20,17,2622,0.65%,12.6
2026-08-21,26,3124,0.83%,10.9
2026-08-22,27,3184,0.85%,10.9
2026-08-23,33,3519,0.94%,11.9
2026-08-24,21,2342,0.9%,12.6
2026-08-25,21,2591,0.81%,12.7
2026-08-26,18,2594,0.69%,13.4
2026-08-27,17,2849,0.6%,12
2026-08-28,17,2853,0.6%,13.4
2026-08-29,18,3030,0.59%,12.7
2026-08-30,24,3044,0.79%,13.6
2026-08-31,28,2636,1.06%,12.3
2026-09-01,25,2846,0.88%,11.3
2026-09-02,18,2577,0.7%,11.1
2026-09-03,25,2382,1.05%,11
2026-09-04,23,2509,0.92%,10.9
2026-09-05,19,2896,0.66%,10.3
