Country,Clicks,Impressions,CTR,Position
United States,389,51333,0.76%,12.76
Canada,28,2640,1.06%,9.44
United Kingdom,19,3200,0.59%,8.37
Germany,12,1473,0.81%,8.62
Australia,11,1409,0.78%,9.96
Netherlands,5,785,0.64%,6.42
Philippines,5,730,0.68%,21.55
India,4,1931,0.21%,20.59
France,4,946,0.42%,19.3
Finland,4,269,1.49%,6.45
Mexico,3,380,0.79%,15.34
Japan,3,369,0.81%,7.31
Ireland,3,363,0.83%,7.1
Indonesia,3,338,0.89%,26.96
Denmark,3,268,1.12%,5.81
Israel,3,153,1.96%,5.69
Switzerland,3,149,2.01%,5.94
Nigeria,3,107,2.8%,5.57
Sweden,2,348,0.57%,6.11
South Africa,2,306,0.65%,5.9
Spain,2,306,0.65%,9.8
Norway,2,256,0.78%,5.62
Greece,2,244,0.82%,5.07
Thailand,2,195,1.03%,22.34
Kenya,2,92,2.17%,5.82
Slovenia,2,65,3.08%,4.49
Hong Kong,1,799,0.13%,27.63
Italy,1,414,0.24%,6.99
Turkey,1,349,0.29%,22.28
Malaysia,1,316,0.32%,16.08
Pakistan,1,300,0.33%,6.75
Singapore,1,245,0.41%,5.75
Vietnam,1,224,0.45%,33.09
South Korea,1,215,0.47%,5.54
Egypt,1,206,0.49%,5.71
New Zealand,1,204,0.49%,7.35
Austria,1,179,0.56%,6.58
China,1,109,0.92%,7.71
Hungary,1,108,0.93%,5.94
Taiwan,1,103,0.97%,8.95
Lebanon,1,83,1.2%,4.46
Serbia,1,73,1.37%,4.97
Venezuela,1,47,2.13%,5.13
Iceland,1,44,2.27%,6.7
Latvia,1,41,2.44%,5
Kosovo,1,36,2.78%,4.72
Malta,1,36,2.78%,4.92
Tunisia,1,35,2.86%,5.63
Costa Rica,1,32,3.12%,6.94
Macedonia,1,29,3.45%,4.97
Armenia,1,22,4.55%,5.73
Congo - Kinshasa,1,11,9.09%,6
United Arab Emirates,0,559,0%,9.49
Myanmar (Burma),0,528,0%,31.31
Iraq,0,471,0%,27.17
Poland,0,318,0%,7.88
Brazil,0,294,0%,8.34
Belgium,0,253,0%,5.47
Romania,0,223,0%,5.66
Bangladesh,0,187,0%,23.17
Russia,0,173,0%,13.57
Ukraine,0,153,0%,15.06
Argentina,0,127,0%,7.09
Bulgaria,0,125,0%,5.66
Iran,0,122,0%,7.81
Saudi Arabia,0,118,0%,14.45
Lithuania,0,113,0%,6.8
Morocco,0,111,0%,16.76
Estonia,0,104,0%,5.57
Czechia,0,104,0%,6.61
Portugal,0,94,0%,7.05
Croatia,0,88,0%,4.47
Sri Lanka,0,77,0%,5.21
Colombia,0,75,0%,6.81
Peru,0,66,0%,7.59
Slovakia,0,65,0%,5.97
Jordan,0,57,0%,18.68
Algeria,0,56,0%,22.55
Albania,0,52,0%,5.54
Nepal,0,49,0%,5.8
Ecuador,0,48,0%,4.27
Jamaica,0,48,0%,4.85
Cyprus,0,48,0%,5.15
Georgia,0,47,0%,5.38
Puerto Rico,0,45,0%,6.29
Qatar,0,41,0%,4.44
Azerbaijan,0,39,0%,5.95
Uganda,0,37,0%,6.05
Chile,0,37,0%,8.43
Kuwait,0,36,0%,4.03
Bosnia & Herzegovina,0,36,0%,7.53
Dominican Republic,0,35,0%,6.97
Trinidad & Tobago,0,31,0%,4.68
Ghana,0,29,0%,6.48
